Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4",LED_D3.0mm,4,LED 2V 20mA,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,51,
